,Window,Variance GBP,Variance SEK,Variance CAD,Covariance SEK - GBP,Covariance SEK - CAD,Covariance GBP - CAD
64,0.8145204017947494,5.981991155035487e-05,9.698942015152125e-06,3.099008796061488e-05,3.288170828883996e-06,3.953632002777101e-06,5.4154066414975655e-06
65,0.556333733972255,4.731215305755754e-05,7.782359292311498e-06,2.2727282299661736e-05,4.497646827487582e-06,6.685330620657357e-07,9.152034020963382e-07
66,0.8338168198615569,7.18522558551505e-05,9.059090784880118e-06,2.9622599738437317e-05,-1.4810028706506054e-07,3.8333480983017114e-06,4.085620949622611e-06
67,0.38211701851190183,1.7553240447174415e-05,6.3564704401843215e-06,2.7842064318793627e-05,-1.0189911394485358e-06,-1.15658991227663e-06,1.1688641022815177e-06
68,0.5534036295547962,4.689268918405365e-05,8.391619307757339e-06,2.2169751906216876e-05,4.192544509262055e-06,1.9567733639880225e-06,-3.616621406146569e-06
69,0.8136631229221378,6.067251054092862e-05,8.387779333650268e-06,3.0241825584721217e-05,2.0785658471283646e-06,3.7104740671702553e-06,4.159149874242884e-06
70,0.44306710879811617,1.8856481346151628e-05,1.4731016187231592e-05,2.8088415124677593e-05,-2.5057675345911993e-06,-1.0263595329552435e-06,2.486575710704968e-07
71,0.46574890633068555,2.164897803432315e-05,1.0152071898654345e-05,2.3230091011578326e-05,3.6132438955232314e-06,1.5605357033504569e-06,-1.2989746536918601e-06
72,0.8737619885319279,7.395529124551384e-05,8.672058615400458e-06,2.878984983404445e-05,6.941685851187419e-06,4.870369409713988e-06,5.459141222050923e-06
73,0.34366667054740796,1.4549054223412108e-05,5.9957998021108954e-06,2.1494032923851692e-05,-1.4149200039218097e-06,1.4400441113484336e-06,-1.3979987239438578e-06
74,0.11758176738619763,6.703001791581917e-06,4.033063728601386e-06,2.031291733113278e-05,1.053542878686518e-06,-3.166492609990129e-08,-3.019008332327092e-07
75,0.7588603869492397,5.6354904179184645e-05,8.541420727428401e-06,2.7941405499973256e-05,-1.795071602947599e-06,2.192814074046075e-06,-1.2381860292823296e-07
76,0.3325571975160285,1.4568408440959899e-05,4.6094362037478975e-06,2.6926657687380525e-05,-2.8009758801191544e-06,5.238368865891996e-07,4.989842307526904e-07
77,0.45117112246110946,2.2392479345486716e-05,8.204194092988048e-06,2.4089657395737374e-05,2.3871974466016615e-06,2.3456667820082556e-07,-1.922491572208478e-06
78,0.957579675469926,5.706232414192189e-05,7.957510142470027e-06,2.8602849430163447e-05,1.2638447160253647e-05,5.935441688344162e-06,6.33266254618723e-06
79,0.24853285372972067,1.0843542966089161e-05,4.014451647919162e-06,2.1736701760602492e-05,3.590837345535241e-07,2.4469047608054143e-07,-2.122328198816521e-06
80,0.6808301462582607,6.117067434536157e-05,7.92153242096657e-06,3.086538354947829e-05,2.2161440292208056e-06,-1.3057383219325003e-07,6.925007947564056e-07
81,0.7094060472669488,6.630492459132907e-05,8.480624847851612e-06,3.058101500705136e-05,-4.305680350959511e-06,2.65251980837227e-06,-7.977467825774155e-07
82,0.7457980100552504,5.6183789215737224e-05,8.001663784118095e-06,3.159528464019204e-05,-7.3523692958001135e-06,2.8268133275288907e-06,-1.5092914135356088e-06
83,0.32790780508160344,1.4783496862439908e-05,4.455910408887446e-06,2.2473239849124245e-05,-1.922476025915247e-06,9.051682895820821e-07,2.1236141741654923e-06
84,0.2586380478748902,1.0547126369033292e-05,4.528621708294806e-06,2.397327007976403e-05,2.1352069142632517e-06,-6.631674226183297e-07,-6.493982992773795e-07
85,0.6816903393786342,6.300334990739892e-05,7.584200288769939e-06,2.9568849133323922e-05,3.943658837994094e-06,-1.3027423377529068e-07,-2.2626003106631614e-06
86,0.36971556761102875,1.5863488529828665e-05,5.8818687907036794e-06,2.5480317174603662e-05,-6.116162738306451e-08,3.9399122078097457e-07,-6.482304832661676e-07
87,0.6103312642495617,5.472020598942162e-05,8.716264521385635e-06,2.418440468267472e-05,1.5290283126386642e-06,2.480802129236362e-06,-3.3036976548831483e-06
88,0.4264254131692885,1.8941886628907554e-05,9.191715228892576e-06,2.6084819451070964e-05,-1.5786273626421532e-06,-1.5457537252156025e-06,1.7271185354021055e-06
