,returns,CDF for h = 0.001,CDF for h = 0.003,CDF for h = 0.01
447,0.0117,0.69725679314385,0.6997601518372729,0.685738318876822
320,0.0117,0.7059779805909309,0.6984351965428213,0.6854749105433093
32,0.012,0.6979886430701522,0.7068460068781945,0.6889038097269414
261,0.012,0.7020274040702233,0.7076537096506754,0.6882519800801397
76,0.0121,0.7136699041146702,0.7072839854221952,0.6914216329502801
286,0.0123,0.712534889828761,0.714959505421771,0.6906076165646636
195,0.0123,0.7094494509595602,0.7084189292279158,0.6925680561609843
185,0.0126,0.7118693025946027,0.7165189259852754,0.6968612437813603
336,0.0126,0.7169622123204313,0.7174717940815543,0.6950229293065455
78,0.0128,0.7109548110367288,0.7178458939383565,0.7003182117789105
211,0.0131,0.7176253715212272,0.7192915312211308,0.7090809531894158
64,0.0132,0.7156841821627088,0.723160931156441,0.7077525112846248
9,0.0133,0.7227910144565965,0.7211837855620009,0.7074048018787888
137,0.0133,0.7182337148141955,0.7274832765685411,0.7051222563969717
427,0.0135,0.7157376558755958,0.7249612618794602,0.7116679915346982
225,0.0137,0.7368158497368482,0.7328314833648547,0.7138921058489729
295,0.0138,0.7419787905655723,0.7369020006106962,0.7155698064260506
232,0.0138,0.734773667670779,0.7364839767917648,0.7125938616896519
113,0.0139,0.7331691670574675,0.7329321958504905,0.7173411060679109
349,0.014,0.7418427332955589,0.733132846078954,0.7192639384458485
324,0.0144,0.7470284521511924,0.7381032602470118,0.724772362246072
352,0.0145,0.7410092797975963,0.7449780573508252,0.7248766854943239
38,0.0145,0.7429324611140917,0.7420736304609997,0.7223745823479409
406,0.0147,0.7381270713121386,0.7442815213482281,0.7328394872944384
77,0.0147,0.7556399635797985,0.7433461646513705,0.7248073070666066
81,0.0148,0.745133480833148,0.7493435451790545,0.7291127673853554
124,0.0149,0.7386963345412025,0.7473370528272372,0.7316174126962482
24,0.0151,0.7413402440485345,0.755327076178305,0.732994778551403
74,0.0153,0.7568946397965592,0.7567545679538591,0.736860165830145
205,0.0154,0.7591059260364704,0.7537056757771569,0.7377030599017588
180,0.0156,0.7664680318333912,0.7547042083423814,0.741443098830631
504,0.0157,0.7596179807211276,0.7581282801476826,0.741790377562098
420,0.0158,0.7678651509975865,0.7629009156937512,0.7427961883781655
50,0.0159,0.770943065866146,0.7575838910786966,0.7445216576281642
490,0.016,0.7618731703401168,0.7671178100857784,0.7439817578736035
31,0.0161,0.771366115524917,0.7606089849647817,0.7438263395426395
90,0.0165,0.7721680969328459,0.7751009343184903,0.7522038911126951
451,0.0166,0.773935258523633,0.7750891762209778,0.7482640629410581
11,0.0167,0.7860494409770039,0.7708543577299098,0.7513801769004465
297,0.0168,0.7607230215103906,0.7763292887358714,0.7541434081442265
223,0.0168,0.7754762195424403,0.7774486720866414,0.7543755653305193
219,0.0168,0.7819112040422652,0.7753156444747662,0.7538286877029224
501,0.0176,0.7975211537986522,0.7844759514033264,0.7642129751583735
274,0.0176,0.7958102719580153,0.7772022899501541,0.7663583128007606
62,0.0177,0.79661428479434,0.7845968489402461,0.7658747467546638
471,0.0179,0.80068096340884,0.7907585611005077,0.7696340841561511
109,0.0179,0.8020924557439622,0.7894777024696759,0.7666698646786593
54,0.018,0.8060936705055546,0.7874806258086744,0.7707785442106875
